shipment_id;date_id;route_id;vehicle_id;product_id;customer_id;sortinghub_id;incident_id;planned_departure_time;actual_departure_time;planned_arrival_time;actual_arrival_time;delivery_status;distance_travelled;fuel_cost;total_cost;delay_duration;total_time_in_transit;total_distance
S0001;D20250418;4;V04;P005;C004;SH03;I02;2025-04-18 06:00;2025-04-18 06:17;2025-04-18 10:00;2025-04-18 10:13;Tepat Waktu;133;375028;526978;13 menit;3 jam 56 menit;133
S0002;D20250417;2;V05;P003;C003;SH01;I01;2025-04-17 06:00;2025-04-17 06:02;2025-04-17 12:00;2025-04-17 12:39;Terlambat;136;386780;491291;39 menit;6 jam 37 menit;136
S0003;D20250426;2;V03;P004;C002;SH04;I05;2025-04-26 06:00;2025-04-26 06:07;2025-04-26 12:00;2025-04-26 12:17;Terlambat;314;237345;378292;17 menit;6 jam 10 menit;314
S0004;D20250421;2;V01;P002;C001;SH01;I03;2025-04-21 06:00;2025-04-21 06:23;2025-04-21 11:00;2025-04-21 12:20;Terlambat;145;307483;541228;80 menit;5 jam 57 menit;145
S0005;D20250410;1;V02;P003;C003;SH01;I03;2025-04-10 06:00;2025-04-10 06:26;2025-04-10 12:00;2025-04-10 12:56;Terlambat;214;477191;654938;56 menit;6 jam 30 menit;214
S0006;D20250424;1;V03;P004;C004;SH02;I01;2025-04-24 06:00;2025-04-24 06:17;2025-04-24 09:00;2025-04-24 10:26;Terlambat;244;170596;413320;86 menit;4 jam 9 menit;244
S0007;D20250406;1;V03;P003;C001;SH01;I02;2025-04-06 06:00;2025-04-06 06:30;2025-04-06 09:00;2025-04-06 08:45;Tepat Waktu;221;519629;831297;0 menit;2 jam 15 menit;221
S0008;D20250420;4;V05;P003;C001;SH02;I02;2025-04-20 06:00;2025-04-20 06:12;2025-04-20 10:00;2025-04-20 11:12;Terlambat;215;584568;869718;72 menit;5 jam 0 menit;215
S0009;D20250425;3;V01;P003;C001;SH03;I04;2025-04-25 06:00;2025-04-25 06:30;2025-04-25 09:00;2025-04-25 09:40;Terlambat;387;463657;806373;40 menit;3 jam 10 menit;387
S0010;D20250412;5;V01;P001;C002;SH02;I02;2025-04-12 06:00;2025-04-12 06:22;2025-04-12 11:00;2025-04-12 12:14;Terlambat;376;460147;573374;74 menit;5 jam 52 menit;376
S0011;D20250409;4;V01;P005;C001;SH04;I05;2025-04-09 06:00;2025-04-09 06:17;2025-04-09 09:00;2025-04-09 08:50;Tepat Waktu;139;367982;649104;0 menit;2 jam 33 menit;139
S0012;D20250408;1;V05;P005;C001;SH02;I04;2025-04-08 06:00;2025-04-08 06:13;2025-04-08 10:00;2025-04-08 11:24;Terlambat;314;398710;652835;84 menit;5 jam 11 menit;314
S0013;D20250411;4;V04;P002;C004;SH04;I04;2025-04-11 06:00;2025-04-11 06:02;2025-04-11 09:00;2025-04-11 10:14;Terlambat;94;236095;394962;74 menit;4 jam 12 menit;94
S0014;D20250430;4;V02;P003;C001;SH03;I04;2025-04-30 06:00;2025-04-30 06:29;2025-04-30 12:00;2025-04-30 12:15;Tepat Waktu;230;546010;758292;15 menit;5 jam 46 menit;230
S0015;D20250402;2;V03;P002;C003;SH01;I04;2025-04-02 06:00;2025-04-02 06:01;2025-04-02 10:00;2025-04-02 10:51;Terlambat;296;473410;839410;51 menit;4 jam 50 menit;296
S0016;D20250410;2;V02;P002;C001;SH02;I01;2025-04-10 06:00;2025-04-10 06:20;2025-04-10 12:00;2025-04-10 12:58;Terlambat;251;251561;586094;58 menit;6 jam 38 menit;251
S0017;D20250427;4;V04;P001;C001;SH01;I03;2025-04-27 06:00;2025-04-27 06:01;2025-04-27 11:00;2025-04-27 11:41;Terlambat;214;478699;725735;41 menit;5 jam 40 menit;214
S0018;D20250403;3;V04;P002;C003;SH02;I05;2025-04-03 06:00;2025-04-03 06:26;2025-04-03 12:00;2025-04-03 13:05;Terlambat;196;348226;573761;65 menit;6 jam 39 menit;196
S0019;D20250417;5;V02;P003;C003;SH01;I02;2025-04-17 06:00;2025-04-17 06:28;2025-04-17 09:00;2025-04-17 09:51;Terlambat;373;394929;522671;51 menit;3 jam 23 menit;373
S0020;D20250405;4;V01;P004;C001;SH01;I01;2025-04-05 06:00;2025-04-05 06:23;2025-04-05 12:00;2025-04-05 12:16;Terlambat;129;341648;596216;16 menit;5 jam 53 menit;129
S0021;D20250405;2;V04;P001;C005;SH03;I05;2025-04-05 06:00;2025-04-05 06:30;2025-04-05 11:00;2025-04-05 12:02;Terlambat;268;562202;856140;62 menit;5 jam 32 menit;268
S0022;D20250418;3;V03;P004;C005;SH02;I04;2025-04-18 06:00;2025-04-18 06:12;2025-04-18 10:00;2025-04-18 10:51;Terlambat;275;239100;482091;51 menit;4 jam 39 menit;275
S0023;D20250415;4;V05;P004;C002;SH03;I04;2025-04-15 06:00;2025-04-15 06:06;2025-04-15 11:00;2025-04-15 10:50;Tepat Waktu;104;324311;459458;0 menit;4 jam 44 menit;104
S0024;D20250420;3;V05;P001;C004;SH01;I02;2025-04-20 06:00;2025-04-20 06:26;2025-04-20 12:00;2025-04-20 12:11;Tepat Waktu;323;245243;632849;11 menit;5 jam 45 menit;323
S0025;D20250417;1;V02;P001;C005;SH03;I01;2025-04-17 06:00;2025-04-17 06:25;2025-04-17 10:00;2025-04-17 11:18;Terlambat;351;287198;495392;78 menit;4 jam 53 menit;351
